ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;HiddenLayerSizes;LearningRate;DropoutRate;ActivationFunction;Regularization;OptimizationAlgorithm
101;2020-09-07 21:52:07;17;0.6563125252723694;1920418;(1288,); 0.01; 0.05; relu; l2; adam
102;2020-09-07 21:53:48;17;0.6423125267028809;1920418;(1288,); 0.01; 0.1; relu; l2; adam
103;2020-09-07 21:54:48;10;0.6284375190734863;1920418;(1288,); 0.01; 0.2; relu; l2; adam
104;2020-09-07 21:55:55;11;0.5206249952316284;1920418;(1288,); 0.01; 0.5; relu; l2; adam
105;2020-09-07 21:57:37;16;0.6981250047683716;1920418;(1288,); 0.005; 0.05; relu; l2; adam
106;2020-09-07 21:59:42;21;0.6788750290870667;1920418;(1288,); 0.005; 0.1; relu; l2; adam
107;2020-09-07 22:01:11;15;0.6891250014305115;1920418;(1288,); 0.005; 0.2; relu; l2; adam
108;2020-09-07 22:02:50;17;0.6580625176429749;1920418;(1288,); 0.005; 0.5; relu; l2; adam
109;2020-09-07 22:03:55;11;0.7097499966621399;1920418;(1288,); 0.001; 0.05; relu; l2; adam
110;2020-09-07 22:04:59;11;0.7099999785423279;1920418;(1288,); 0.001; 0.1; relu; l2; adam
111;2020-09-07 22:07:02;21;0.7169374823570251;1920418;(1288,); 0.001; 0.2; relu; l2; adam
112;2020-09-07 22:09:17;23;0.7114375233650208;1920418;(1288,); 0.001; 0.5; relu; l2; adam
113;2020-09-07 22:10:22;11;0.7038750052452087;1920418;(1288,); 0.0005; 0.05; relu; l2; adam
114;2020-09-07 22:11:28;11;0.7036874890327454;1920418;(1288,); 0.0005; 0.1; relu; l2; adam
115;2020-09-07 22:14:57;36;0.7219374775886536;1920418;(1288,); 0.0005; 0.2; relu; l2; adam
116;2020-09-07 22:16:25;15;0.703000009059906;1920418;(1288,); 0.0005; 0.5; relu; l2; adam
117;2020-09-07 22:18:04;17;0.6896250247955322;1920418;(1288,); 0.0001; 0.05; relu; l2; adam
118;2020-09-07 22:22:20;44;0.7049999833106995;1920418;(1288,); 0.0001; 0.1; relu; l2; adam
119;2020-09-07 22:25:30;31;0.6992499828338623;1920418;(1288,); 0.0001; 0.2; relu; l2; adam
120;2020-09-07 22:28:03;26;0.6976249814033508;1920418;(1288,); 0.0001; 0.5; relu; l2; adam
