ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;NumBytes;NumFiltersPerLayer;DenseLayerSize;LearningRate;DropoutRate;PoolingType;FilterSize;PaddingType;ActivationFunction;Regularization;OptimizationAlgorithm
77;2020-09-13 07:33:27;50;0.7663750052452087;65290;576; (32, 32, 32, 32); 32; 0.0001; 0.05; max; 3; same; relu; l2; adam
78;2020-09-13 07:40:17;50;0.7508124709129333;65290;576; (32, 32, 32, 32); 32; 0.0001; 0.1; max; 3; same; relu; l2; adam
79;2020-09-13 07:47:05;50;0.7400000095367432;65290;576; (32, 32, 32, 32); 32; 0.0001; 0.2; max; 3; same; relu; l2; adam
80;2020-09-13 07:53:52;50;0.6702499985694885;65290;576; (32, 32, 32, 32); 32; 0.0001; 0.5; max; 3; same; relu; l2; adam
81;2020-09-13 07:56:22;22;0.7298750281333923;37642;144; (32, 32, 32, 32); 32; 0.01; 0.05; max; 3; same; relu; l2; adam
82;2020-09-13 07:59:47;30;0.7294999957084656;37642;144; (32, 32, 32, 32); 32; 0.01; 0.1; max; 3; same; relu; l2; adam
83;2020-09-13 08:00:29;6;0.10000000149011612;37642;144; (32, 32, 32, 32); 32; 0.01; 0.2; max; 3; same; relu; l2; adam
84;2020-09-13 08:02:04;14;0.5718749761581421;37642;144; (32, 32, 32, 32); 32; 0.01; 0.5; max; 3; same; relu; l2; adam
85;2020-09-13 08:04:41;23;0.7834374904632568;37642;144; (32, 32, 32, 32); 32; 0.005; 0.05; max; 3; same; relu; l2; adam
86;2020-09-13 08:09:55;47;0.7932500243186951;37642;144; (32, 32, 32, 32); 32; 0.005; 0.1; max; 3; same; relu; l2; adam
87;2020-09-13 08:12:12;20;0.7708749771118164;37642;144; (32, 32, 32, 32); 32; 0.005; 0.2; max; 3; same; relu; l2; adam
88;2020-09-13 08:14:49;23;0.7705625295639038;37642;144; (32, 32, 32, 32); 32; 0.005; 0.5; max; 3; same; relu; l2; adam
